Year,Country,Inbound-Total Arrival(overnight stay)( In thousands),Inbound- Region(America)( In thousands),Inbound- Region(East Asia and the Pacific)( In thousands),Inbound- Region(Europe)( In thousands),Inbound Accommodation( In thousands),Inbound- Expenditure(Travel)(US$ Millions),Domestic- Accommodation( In thousands),Outbound- departure(overnight stay)( In thousands),Outbound Expenditure(Travel)(US$ Millions),Tourism Industry(Number of establishments),Tourism Industry(Number of rooms),Tourism Industry(Number of bed-places)
2008,Austria,21935,673,706,19993,191335,21630,74581,9677,19617,13756,286571,579758
2008,Belgium,7165,399,268,6187,40466,12020,27379,8887,19523,2069,67910,170914
2008,Bulgaria,5780,92,48,8261,27874,4306,17104,5727,2311,1646,117186,239706
2008,Croatia,8665,214,275,8165,79528,11214,12264,2357,1123,835,75996,163546
2008,Denmark,9016,627,191,8330,62225,6281,90006,6347,9698,469,36923,72775
2008,Estonia,2222,25,18,1388,8446,1193,4392,692,809,368,14565,29760
2008,Finland,3583,163,314,5540,14810,3234,39719,5854,4544,916,54844,119182
2008,France,79218,5963,3483,67305,249318,57262,482877,25506,40928,17487,612082,1224164
2008,Germany,24884,2572,1991,19096,151114,39921,684031,86201,91641,35984,915577,1737890
2008,Greece,15939,849,218,14767,112752,17438,48586,3765,3930,9385,375067,715857
2008,Hungary,8814,548,433,38552,25212,6443,25207,6155,3225,2001,65815,154521
2008,Iceland,502,51,12,319,5372,624,1995,414,1103,301,9074,19255
2008,Italy,42734,3923,1363,64492,347753,46217,450303,26464,30940,34155,1079465,2201838
2008,Lithuania,1611,30,57,1510,5335,1248,5559,1757,1530,365,11141,22024
2008,Luxembourg,877,32,31,805,5121,5961,371,1190,2730,264,7953,14359
2008,Netherlands,10104,1068,668,8285,58368,12874,106301,18399,19805,3180,98155,198647
2008,Norway,4347,136,29,3967,,4853,,,14100,1108,72406,157266
2008,Poland,12960,380,220,59290,25724,11826,88792,7600,9898,2642,103705,210507
2008,Portugal,6962,676,202,6016,67715,10985,45703,,4329,2041,121013,273975
2008,Spain,57192,2398,237,53512,458622,68875,368901,11229,20543,17988,838522,1682559
2008,Sweden,4555,239,216,3848,25824,9996,88987,13291,12805,1940,106581,218164
2008,Turkey,29792,561,554,21198,141059,23365,64201,4893,3824,2547,266881,563252
2008,Ukraine,25449,161,44,20514,12776,5768,74387,15499,4023,1595,71352,161435
2009,Austria,21355,617,645,19613,184537,19168,76000,10121,18738,13645,288934,587899
2009,Belgium,6815,375,238,5956,38057,11461,28058,8775,19001,2095,68708,170904
2009,Bulgaria,5739,82,42,7602,22714,3776,14988,4993,1755,1784,112014,249193
2009,Croatia,8694,180,271,8233,77693,8992,10828,2497,1014,819,72736,150069
2009,Denmark,8547,648,182,7989,59576,5617,85994,7037,8968,467,37911,74733
2009,Estonia,2180,23,20,1332,7985,1090,3653,752,605,387,14923,30826
2009,Finland,3423,151,310,5182,13262,2745,38581,5832,4404,892,55146,120175
2009,France,76764,5491,3371,65245,226556,49616,483815,25140,36991,17283,612465,1224930
2009,Germany,24220,2476,1790,18782,146354,34752,685501,85547,81461,35982,926610,1812964
2009,Greece,14915,729,206,13884,109926,14691,52588,3835,3383,9559,383008,732279
2009,Hungary,9058,557,439,39606,23135,5976,23695,5672,2750,2042,67310,157464
2009,Iceland,494,55,12,328,5868,550,2087,259,546,296,8993,18937
2009,Italy,43239,3761,1397,65744,340081,40407,449130,27490,27967,33967,1088088,2227832
2009,Lithuania,1341,21,40,1267,4517,972,4116,1288,1119,380,11962,23839
2009,Luxembourg,847,29,32,779,4764,5689,357,1362,2573,261,8239,15096
2009,Netherlands,9921,1018,673,8146,57118,12063,105685,18340,18628,3151,100493,203852
2009,Norway,4346,132,25,3943,,4199,,6640,12101,1122,75423,169245
2009,Poland,11890,338,207,53221,24343,9056,87531,6300,7366,2855,109534,222208
2009,Portugal,6439,623,190,5552,60589,9701,46421,,3780,1988,120737,273804
2009,Spain,52178,2574,505,48204,412986,59795,357368,12017,17146,18330,863056,1733383
2009,Sweden,4899,190,150,4294,26359,7807,89391,11699,10552,1982,108168,221767
2009,Turkey,30187,559,545,21142,148612,22980,69263,5561,4575,2597,286114,600986
2009,Ukraine,20798,163,46,20911,10618,3576,64893,15334,3330,1684,75799,173894
2010,Austria,22004,708,741,20043,186346,18751,78242,9882,22558,13461,290287,589293
2010,Belgium,7186,429,256,6310,39982,11393,29700,8801,18862,2196,70932,175247
2010,Bulgaria,6047,84,44,8081,25168,3343,14402,3676,826,1823,111218,245442
2010,Croatia,9111,208,299,8593,81069,8069,10161,1873,832,841,73333,151681
2010,Denmark,8744,646,190,8128,61019,5704,86642,7726,9082,479,40253,80471
2010,Estonia,2511,27,22,1502,9258,1065,3972,955,633,375,14719,30324
2010,Finland,3670,150,347,5646,13667,3026,40322,6633,4305,841,54903,119395
2010,France,76647,5380,3400,65040,233151,46459,490825,25041,38297,17070,611609,1223218
2010,Germany,26875,2883,2046,20610,161855,34557,707128,85872,77566,36056,940484,1784161
2010,Greece,15007,691,199,14034,115391,12478,48549,3799,2853,9732,397660,763407
2010,Hungary,9510,547,448,38887,24577,5587,24714,5297,2404,2036,69151,161430
2010,Iceland,489,65,11,318,5724,562,2051,299,612,326,9437,19920
2010,Italy,43626,3969,1418,66821,355568,38432,449261,28188,26902,33999,1095332,2253342
2010,Lithuania,1507,27,28,1435,5110,958,4348,1411,849,381,12068,24302
2010,Luxembourg,805,29,35,737,4337,5683,314,1237,2448,259,8387,15353
2010,Netherlands,10883,1223,770,8787,62585,11653,105230,18368,19044,3172,103246,211772
2010,Norway,4767,160,28,4313,,4692,,7590,13472,1128,78436,175466
2010,Poland,12470,395,280,57540,25896,9414,91856,7100,8358,3223,119175,240967
2010,Portugal,6756,760,229,5692,62007,10004,47603,,3905,2011,124542,279506
2010,Spain,52677,2618,962,48290,446132,58348,366601,12379,16926,18598,883225,1781935
2010,Sweden,5183,226,174,4470,27631,8336,92689,13042,12126,1985,110413,224444
2010,Turkey,31364,550,628,21666,182777,22585,70922,6557,5194,2614,295322,619863
2010,Ukraine,21203,165,50,21118,12602,3788,61222,17180,3742,1731,79489,185776
2011,Austria,23012,743,915,20819,189837,19791,79060,9874,27371,13359,290509,594357
2011,Belgium,7494,489,307,6523,41731,12750,31192,9727,20672,2149,70531,174545
2011,Bulgaria,6328,88,51,8389,29558,3764,16166,3803,904,1862,110564,241665
2011,Croatia,9927,251,360,9303,87040,9348,10485,2880,881,857,74616,154733
2011,Denmark,7864,684,166,7174,61481,6366,82519,7846,9840,515,42351,85315
2011,Estonia,2823,32,29,1731,10738,1256,4354,1054,806,374,15132,31349
2011,Finland,4192,181,427,6641,15135,3847,41184,7274,4882,830,55892,122182
2011,France,80499,6339,3905,67123,262496,55154,595650,26155,44725,17000,614684,1229368
2011,Germany,28374,2914,2297,21861,171224,38928,737837,84692,86227,35766,952330,1813153
2011,Greece,16427,719,207,15430,128594,14813,44492,4941,3161,9648,397322,763668
2011,Hungary,10250,615,515,40148,26800,5929,25607,5335,2485,2155,70670,170439
2011,Iceland,566,95,16,355,6549,752,1987,341,754,343,9996,20956
2011,Italy,46119,4829,1646,68357,381933,43271,451653,27831,28749,33918,1096540,2253003
2011,Lithuania,1775,33,43,1683,6108,1321,4873,1526,859,379,12622,26114
2011,Luxembourg,874,38,56,771,4896,6899,371,1643,2628,260,8393,15388
2011,Netherlands,11300,1320,850,9016,64751,12897,105736,18560,20741,3194,104704,213932
2011,Norway,4963,164,27,4471,,5329,,8130,15823,1115,80150,178203
2011,Poland,13350,400,300,59950,27334,10554,96474,6300,8251,3369,123733,256869
2011,Portugal,7264,874,261,6044,67920,11384,46357,,4146,2019,128336,289107
2011,Spain,56177,2887,1176,51420,501819,67809,363269,13347,17387,19210,903441,1833726
2011,Sweden,11567,671,356,18249,28005,10209,93966,14651,13998,1998,112628,225343
2011,Turkey,34654,660,721,23501,195201,25054,81947,6282,4883,2740,313391,655827
2011,Ukraine,21415,176,53,22706,12185,4294,59084,19773,4461,3162,76567,153249
2012,Austria,24151,806,1105,21599,198291,18931,81049,10960,28078,13203,292165,594841
2012,Belgium,7560,505,367,6508,41685,12498,31282,9576,20166,3216,72379,176693
2012,Bulgaria,6541,94,56,8525,31814,3462,17644,3758,923,1936,118752,261159
2012,Croatia,10369,292,469,9591,91292,8683,9835,2680,926,878,75363,156792
2012,Denmark,8443,589,231,7250,62016,6135,82837,7843,9600,511,42808,86619
2012,Estonia,2957,40,36,1782,10943,1286,4543,1147,796,390,15088,31590
2012,Finland,4226,223,474,6923,15990,3877,41309,9055,4887,839,57009,123979
2012,France,81980,6133,4159,68554,266808,53327,589730,25317,39836,17171,619322,1238644
2012,Germany,30411,3155,2666,23121,184411,38054,757842,82729,83202,34696,948825,1817567
2012,Greece,15518,559,216,14661,120275,13210,36457,4681,2364,9670,400433,771271
2012,Hungary,10353,577,459,42503,29319,5057,26066,4881,1886,2094,70252,170592
2012,Iceland,673,114,24,426,7694,866,2094,358,792,329,10405,21884
2012,Italy,46360,4757,1657,68797,390902,40943,431798,27376,26239,33728,1093286,2250704
2012,Lithuania,1900,41,60,1775,6757,1317,5249,1708,925,397,13248,27453
2012,Luxembourg,950,39,75,822,5442,6825,478,1580,2344,252,8206,15345
2012,Netherlands,11680,1323,949,9296,66001,12295,105363,18628,19778,3155,105940,216824
2012,Norway,4538,245,378,3894,20457,5436,60334,9250,16603,1102,81923,186675
